id,name,description,origin,storage,image_url,start_month,end_month,note
11,キャベツ, 食物繊維が豊富で、胃腸に優しい。サラダや炒め物、スープに活躍します。, 長野県、千葉県、茨城県, 冷蔵庫で保存、なるべく切らずに保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052696/vegetable_11_anj1sb.jpg,11,5,春キャベツ（4〜6月）と冬キャベツ（11〜2月）がある
12,ほうれんそう, 鉄分やビタミンCが豊富で、免疫力向上に役立つ葉菜。お浸しやスムージーに。, 茨城県、群馬県、愛知県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052697/vegetable_12_qo0kfm.jpg,11,4,冬が甘みと栄養価ともにピーク
13,ねぎ, 風味が豊かな野菜。ビタミンCやアリシンを含み、免疫力向上に効果的です。, 千葉県、群馬県、北海道, 冷蔵庫で保存、ラップで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_13_kbfs64.jpg,11,3,冬の白ねぎが特に甘くなる
14,ふき, 苦味が特徴の野菜で、食物繊維が豊富。煮物や和え物に使われます。, 北海道、福島県、新潟県, 冷蔵庫で保存、新聞紙で包んで保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237600/vegetable_14_rhcmrt.jpg,2,4,春が旬の山菜
15,うど, 春が旬で、さっぱりとした味わい。低カロリーで食物繊維が豊富です。, 山形県、岩手県、長野県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_15_pe83i4.jpg,3,5,春が旬で香り高い
16,みつば, 香りが良く、ビタミンAやCが豊富。薬味やサラダに使われます。, 長野県、茨城県、群馬県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_16_qpwuhm.jpg,2,5,春が旬だが通年出回る
17,しゅんぎく, 香りが強い葉野菜で、ビタミンAやCが豊富。鍋や和え物に最適です。, 長野県、千葉県、茨城県, 冷蔵庫で保存、濡れたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_17_ggc30t.jpg,11,4,冬が旬で鍋料理に欠かせない
18,にら, 香りが特徴的で、ビタミンCやカルシウムが豊富。炒め物や餃子の具に使います。, 千葉県、茨城県、群馬県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_18_xhltwe.jpg,11,3,春と秋に旬を迎える
19,セルリー, シャキシャキとした食感で、ビタミンCや食物繊維が豊富。サラダやスープに。, 茨城県、長野県、宮崎県, 冷蔵庫で保存、ラップで包んで保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243322/vegetable_19_xv7fvt.jpg,3,5,春と秋が食べやすく香りも豊か
20,アスパラガス, 春の野菜で、ビタミンAやCが豊富。炒め物やサラダに最適です。, 北海道、茨城県、福岡県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_20_iqhjtc.jpg,4,6,春から初夏にかけてが旬
21,カリフラワー, ビタミンCや食物繊維が豊富。サラダやスープに使われます。, 長野県、千葉県、愛知県, 冷蔵庫で保存、ラップで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_21_pk2qmq.jpg,11,3,晩秋から冬が旬
22,ブロッコリー, 栄養価が高く、ビタミンCや食物繊維が豊富。サラダや炒め物に最適です。, 長野県、群馬県、北海道, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_22_hvznl7.jpg,10,4,冬が最盛期で甘みが出る
23,レタス, サラダに最適な野菜で、ビタミンAやCを含む。シャキシャキした食感が特徴です。, 茨城県、千葉県、長野県, 冷蔵庫で保存、袋に入れて保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_23_mbb2kt.jpg,3,6,春と秋が食べ頃
24,パセリ, 食欲をそそる香りと色鮮やかな緑が特徴。ビタミンCや鉄分が豊富です。, 千葉県、長野県、北海道, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_24_i5y9gy.jpg,3,5,通年流通するが、春が育ちやすい
25,きゅうり, みずみずしく低カロリーな野菜。ビタミンCやカリウムが豊富です。, 茨城県、千葉県、北海道, 冷蔵庫で保存、ラップで包んで保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052697/vegetable_25_k3jwc8.jpg,5,9,夏が旬で水分が豊富
26,かぼちゃ, 甘みがあり、βカロテンが豊富。煮物やスープに使われます。, 北海道、長野県、茨城県, 常温で保存、カットした後は冷蔵庫で保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243321/vegetable_26_nf1vc0.jpg,7,10,夏に収穫し、秋〜冬に甘みが増す
27,なす, 低カロリーで食物繊維が豊富。炒め物や煮物、揚げ物に適しています。, 茨城県、福岡県、長野県, 冷蔵庫で保存、ビニール袋で保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052698/vegetable_27_kptnhe.jpg,6,9,夏が旬でみずみずしい
28,トマト, ビタミンCとリコピンが豊富。サラダやスープに最適です。, 千葉県、福岡県、北海道, 常温で保存、熟したトマトは冷蔵庫で。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052698/vegetable_28_ih2wgz.jpg,6,9,初夏〜夏が最盛期
29,ミニトマト, 小さくて甘みが強いトマト。サラダやそのままおやつとしても美味しい。, 千葉県、福岡県、愛知県, 常温で保存、冷蔵庫に入れる場合は袋に入れて保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243321/vegetable_29_k3gtxm.jpg,6,9,夏が旬だが通年栽培される
30,ピーマン, ビタミンCが豊富で、炒め物やサラダに使われます。苦味が少なく食べやすい。, 茨城県、千葉県、栃木県, 冷蔵庫で保存、ラップで包んで保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052699/vegetable_30_zpzyee.jpg,6,9,夏野菜として6〜9月が旬
31,ししとうがらし, 辛味が少ないピーマンの仲間。焼いたり炒めたりして食べます。, 静岡県、群馬県、福岡県, 冷蔵庫で保存、湿らせたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243323/vegetable_31_uvzu8z.jpg,6,9,夏が旬で焼き物にも合う
32,スイートコーン, 甘みがあり、食物繊維やビタミンB群が豊富。茹でてそのまま食べられます。, 北海道、宮崎県、福島県, 冷蔵庫で保存、皮付きで保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243322/vegetable_32_un5axr.jpg,6,8,夏が最盛期で甘さが引き立つ
33,さやいんげん, さっぱりした味わいの野菜で、ビタミンA、Cが豊富。食物繊維も多く、消化を助ける。, 茨城県、栃木県、群馬県, 冷蔵庫で保存、乾燥させないように袋に入れる。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243322/vegetable_33_urgizo.jpg,5,9,夏が旬で柔らかい
34,さやえんどう, さっぱりとした甘みが特徴の野菜。ビタミンCと食物繊維が豊富。, 群馬県、埼玉県、福岡県, 冷蔵庫で保存し、早めに使う。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746243322/vegetable_34_mc01mj.jpg,5,6,春が旬でシャキシャキ食感
35,実えんどう, 甘みと旨味が特徴で、ビタミンCやカリウムが豊富な野菜。, 茨城県、北海道、福岡県, 冷蔵庫で保存、冷凍保存も可能。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746505451/vegetable_35_ycnu9f.jpg,5,6,春が旬で甘みが強い
36,そらまめ, ふっくらとした豆が特徴で、ビタミンB群や食物繊維が豊富。, 宮崎県、栃木県、福岡県, 冷蔵庫で保存、早めに消費するのがベスト。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746505450/vegetable_36_xuheni.jpg,4,6,春〜初夏が旬で風味豊か
37,えだまめ, タンパク質が豊富で、ヘルシーなおやつやサイドディッシュとして人気。, 宮崎県、北海道、千葉県, 冷蔵庫で保存、茹でてから冷凍保存も可能。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746505450/vegetable_37_s6w1oa.jpg,6,9,夏が旬でビールのお供に最適
38,かんしょ, ほくほくとした甘みが特徴の芋。食物繊維が豊富で、エネルギー源としても優秀。, 鹿児島県、茨城県、栃木県, 風通しの良い場所で保存、湿気に注意。,https://res.cloudinary.com/dk0th6cad/image/upload/v1746505450/vegetable_38_udpdmq.jpg,10,2,秋が旬で甘みが強い
39,ばれいしょ, 料理に幅広く使える芋。カリウムやビタミンCが豊富で、エネルギー源としても優秀。, 北海道、青森県、長崎県, 風通しの良い場所で保存、湿気に注意。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052700/vegetable_39_vpsfay.jpg,5,8,春と秋の年2回が旬
40,さといも, もちもちとした食感が特徴で、食物繊維やビタミンB群が豊富。, 福岡県、佐賀県、熊本県, 湿度が高い場所で保存、冷蔵庫で保存も可。,,9,12,秋から冬にかけてが旬
41,やまのいも, 滑らかな食感が特徴で、ビタミンB1や食物繊維が豊富。, 長野県、群馬県、岡山県, 風通しの良い場所で保存、冷蔵庫に入れる際は湿らせた新聞紙で包む。,,9,12,晩秋から冬が食べ頃
42,たまねぎ, 甘みが強く、どんな料理にも使える万能な野菜。ビタミンCや硫化アリルが豊富。, 北海道、兵庫県、淡路島, 風通しの良い場所で保存、湿気に注意。,,6,8,新たまねぎは春、通常は初夏が旬
43,にんにく, 香りが強く、料理に風味を加える食材。抗菌作用があり、健康にも良い。, 青森県、群馬県、長野県, 風通しの良い場所で保存、湿気に注意。,,6,8,初夏が収穫期で香りが強い
44,しょうが, 辛味と香りが特徴で、消化を助け、風味豊かな料理に欠かせない食材。, 高知県、熊本県、鹿児島県, 冷蔵庫で保存、乾燥しないように袋に入れる。,,6,9,夏に収穫し、秋に新生姜が出回る
45,生しいたけ, 旨味が豊富で、ビタミンDや食物繊維が豊富。炒め物やスープにぴったり。, 福岡県、長崎県、愛知県, 冷蔵庫で保存、湿気を避ける。,,9,12,秋と春が旬で香りが良い
46,なめこ, ぷりっとした食感が特徴で、和食によく使われるキノコ。ビタミンDが豊富。, 長野県、山梨県、福岡県, 冷蔵庫で保存、早めに使用するのがベスト。,,10,12,秋が旬で鍋料理に最適
47,えのきだけ, シャキシャキとした食感で、スープや炒め物に適したキノコ。低カロリーでヘルシー。, 岐阜県、長野県、愛知県, 冷蔵庫で保存、袋に入れて湿気を避ける。,,9,12,通年出回るが、冬が最適
48,しめじ, 濃厚な旨味が特徴で、ビタミンDや食物繊維が豊富なキノコ。炒め物に最適。, 岐阜県、愛知県、福岡県, 冷蔵庫で保存、湿気を避ける。,,9,12,秋が旬で旨みが豊か
